time,joint0,joint1,joint2,joint3,joint4,joint5,joint6,joint7
2.716666670000000283e-01,-2.232029088636301672e+00,-8.499368532553134514e+00,-5.987809995504749239e+00,8.961744254796418119e+00,2.405604115490854511e+01,1.352786632632361297e+01,-2.545173072361693212e+00,-1.478497859138290593e+01
2.733333340000000389e-01,-1.968161408852612482e+00,-8.593795676548756646e+00,-6.475670183447030936e+00,8.578242065544722905e+00,2.440163072973228964e+01,1.428766564956340446e+01,-1.662645122664569985e+00,-1.436210508717514678e+01
2.750000000000000222e-01,-1.692280018278242926e+00,-8.674502928546282021e+00,-6.963358498275912467e+00,8.169863117724101897e+00,2.470549034543219591e+01,1.506550562601498200e+01,-7.358218530924249823e-01,-1.390549457260405397e+01
2.766666670000000328e-01,-1.405560796610161978e+00,-8.740330237617058629e+00,-7.449370837920333166e+00,7.735197571016472651e+00,2.496275518844819885e+01,1.585721361312180910e+01,2.369711038005322123e-01,-1.341188665251181966e+01
2.783333339999999878e-01,-1.109112453529940812e+00,-8.790219850385085465e+00,-7.932085278156214336e+00,7.273119426654787389e+00,2.516879604538265980e+01,1.665824515861987365e+01,1.257138827406164783e+00,-1.287809343548307872e+01
2.800000000000000266e-01,-8.039469330997160990e-01,-8.823283597093322328e+00,-8.409889939529254121e+00,6.782802779276829064e+00,2.531931921322450663e+01,1.746371214971230756e+01,2.325646945468830662e+00,-1.230092180251674527e+01
2.816666669999999817e-01,-4.910358594023569445e-01,-8.838844332012367744e+00,-8.881179110718898428e+00,6.263780556722304382e+00,2.541042059150244725e+01,1.826838019605592933e+01,3.443057867132958361e+00,-1.167712353413030257e+01
2.833333339999999922e-01,-1.714371332260989367e-01,-8.836426822276997939e+00,-9.344336709402581320e+00,5.715922301856386056e+00,2.543859614541996450e+01,1.906675274864215908e+01,4.609663249046218603e+00,-1.100349697504259261e+01
2.850000000000000311e-01,1.535905580151175620e-01,-8.815735008220489277e+00,-9.797848954114023456e+00,5.139380979025604645e+00,2.540087068275332172e+01,1.985319365515627155e+01,5.825525182235780974e+00,-1.027684694479625627e+01
2.866666669999999861e-01,4.825928008276726411e-01,-8.776634818513077363e+00,-1.024029441989788047e+01,4.534575113849289352e+00,2.529479616635023476e+01,2.062192791382230794e+01,7.090372437136219119e+00,-9.493806642408838314e+00
2.883333339999999967e-01,8.139977524728776448e-01,-8.719143031925444376e+00,-1.067032166464940524e+01,3.902182751758239920e+00,2.511843091033286512e+01,2.136703579473103787e+01,8.403460658666036309e+00,-8.650888213260174098e+00
2.900000000000000355e-01,1.146137317645367970e+00,-8.643409910064828949e+00,-1.108666555030715450e+01,3.243147448874462935e+00,2.487035036773210805e+01,2.208245915584855723e+01,9.763523135021646482e+00,-7.744471412014157785e+00
2.916666669999999906e-01,1.477369792512625457e+00,-8.549693262245028791e+00,-1.148811313505891185e+01,2.558633044488456409e+00,2.454968486055161137e+01,2.276211475305754206e+01,1.116877236315776400e+01,-6.770954182026261314e+00
2.933333340000000011e-01,1.806168745976053147e+00,-8.438349513999062523e+00,-1.187348023385641405e+01,1.850052609909958123e+00,2.415614337371612308e+01,2.339993422764922570e+01,1.261681191298123750e+01,-5.726779664113524682e+00
2.950000000000000400e-01,2.131068890739426180e+00,-8.309826337774168792e+00,-1.224164342729233645e+01,1.119068555869516146e+00,2.368994766133301511e+01,2.398993475375003470e+01,1.410469731140674554e+01,-4.608522296879150382e+00
2.966666669999999950e-01,2.450627254062414107e+00,-8.164647348660324155e+00,-1.259151133724184035e+01,3.674919459013441525e-01,2.315178531582574095e+01,2.452633420739043046e+01,1.562892614264249502e+01,-3.412919433281455639e+00
2.983333340000000056e-01,2.763585632279819126e+00,-8.003425721376782320e+00,-1.292202185763601285e+01,-4.027503912482998105e-01,2.254285100122720209e+01,2.500361922935231718e+01,1.718530194148648604e+01,-2.137084734749963744e+00
2.999999999999999889e-01,3.068926662214365830e+00,-7.826882968261354989e+00,-1.323218600656465682e+01,-1.189635272343440020e+00,2.186487406509405673e+01,2.541660883083785194e+01,1.876885058129560235e+01,-7.786184335188044425e-01
3.016666669999999995e-01,3.365904877669685380e+00,-7.635823493343785628e+00,-1.352106606346337969e+01,-1.991049083881082371e+00,2.112004487479913450e+01,2.576050538335157469e+01,2.037387591493909156e+01,6.642739207433552284e-01
3.033333340000000100e-01,3.654018468469283132e+00,-7.431069528020027626e+00,-1.378773307394660108e+01,-2.804865459441828524e+00,2.031100628226667837e+01,2.603102067708329059e+01,2.199380525740517101e+01,2.192578763391119345e+00
3.049999999999999933e-01,3.932998507861377835e+00,-7.213453813981797857e+00,-1.403123048040242615e+01,-3.629014856899199337e+00,1.944074237824447238e+01,2.622457547373144493e+01,2.362128320641310708e+01,3.806295108092376811e+00
3.066666670000000039e-01,4.202720548641423193e+00,-6.983844456383015320e+00,-1.425066163150448340e+01,-4.461430285931897721e+00,1.851258968917178294e+01,2.633836816195742614e+01,2.524818080245905350e+01,5.504231840496087713e+00
3.083333340000000145e-01,4.463123130164001751e+00,-6.743083178314019932e+00,-1.444521003144530624e+01,-5.300090963933460131e+00,1.753012328486814653e+01,2.637045523101097899e+01,2.686569781163639803e+01,7.283815434147181911e+00
3.099999999999999978e-01,4.714217587011912514e+00,-6.491983929994821878e+00,-1.461418706134000978e+01,-6.142966117269488713e+00,1.649710999815595258e+01,2.631971110956357762e+01,2.846441387403220702e+01,9.141119510719688535e+00
3.116666670000000083e-01,4.956022664556385848e+00,-6.231339029769041638e+00,-1.475700554424145317e+01,-6.988017140718284281e+00,1.541740811656496923e+01,2.618576900046791422e+01,3.003435973274277515e+01,1.107075758307332691e+01
3.133333340000000189e-01,5.188474003398964918e+00,-5.961828900099825468e+00,-1.487314659155836516e+01,-7.833243592766494956e+00,1.429489313624615221e+01,2.596899735918464458e+01,3.156521763609656972e+01,1.306572088326921666e+01
3.150000000000000022e-01,5.411386863203238029e+00,-5.684051497302854195e+00,-1.496212479799970474e+01,-8.676689309552513052e+00,1.313345898641285281e+01,2.567051164324182722e+01,3.304643970293975741e+01,1.511745059915162415e+01
3.166666670000000128e-01,5.624370505927005937e+00,-5.398580467641394875e+00,-1.502347224560439010e+01,-9.516358830550801784e+00,1.193693383716328249e+01,2.529218628165917337e+01,3.446736787998325013e+01,1.721574240195739236e+01
3.183333340000000233e-01,5.826728305900125804e+00,-5.105986553198193612e+00,-1.505673863792125466e+01,-1.035021130843264636e+01,1.070899926513851419e+01,2.483660102257645974e+01,3.581750326630680803e+01,1.934881771341247259e+01
3.200000000000000067e-01,6.017363713526000524e+00,-4.806781268588347977e+00,-1.506150138922595261e+01,-1.117616055944708897e+01,9.453271094948979325e+00,2.430697640792866565e+01,3.708655169941058460e+01,2.150331838448351007e+01
3.216666670000000172e-01,6.194760588941783830e+00,-4.501376097824335787e+00,-1.503735298140635201e+01,-1.199201344112682044e+01,8.173250860387744510e+00,2.370707872389518300e+01,3.826467635079504248e+01,2.366444943366723663e+01
3.233333340000000278e-01,6.357176601556704831e+00,-4.190106961273814434e+00,-1.498389878297598798e+01,-1.279550311898289827e+01,6.872247562971015356e+00,2.304105840517349080e+01,3.934272063193077429e+01,2.581634428751611310e+01
3.250000000000000111e-01,6.502765540863332916e+00,-3.873282782470737207e+00,-1.490074675049118369e+01,-1.358426889866378673e+01,5.553375170153540097e+00,2.231339484336729484e+01,4.031236370330849184e+01,2.794219901827954899e+01
3.266666670000000217e-01,6.630027778100202163e+00,-3.551191360404915898e+00,-1.478750399809477223e+01,-1.435581818001125320e+01,4.219578054758239993e+00,2.152880608043516375e+01,4.116627870660745003e+01,3.002464893299327287e+01
3.283333339999999767e-01,6.737872866990588960e+00,-3.224063230564064853e+00,-1.464378757405223830e+01,-1.510758290757925515e+01,2.873681004773441572e+00,2.069213359024232801e+01,4.189835354348314667e+01,3.204602604494957774e+01
3.300000000000000155e-01,6.825553191291310995e+00,-2.892100881190793782e+00,-1.446924869625984655e+01,-1.583691404165810823e+01,1.518354414380139517e+00,1.980818764175705482e+01,4.250394204471781023e+01,3.398880016953029326e+01
3.316666670000000261e-01,6.892632380036847195e+00,-2.555452506399059853e+00,-1.426359918972226737e+01,-1.654105180935584585e+01,1.561645548998976119e-01,1.888161771055261795e+01,4.297982119080603525e+01,3.583602389267005606e+01
3.333333339999999811e-01,6.938961213526403604e+00,-2.214210961477139250e+00,-1.402660360099049264e+01,-1.721714468783072860e+01,-1.210406569270541688e+00,1.791682856005503766e+01,4.332399998286606291e+01,3.757183532138046189e+01
3.350000000000000200e-01,6.964653057365588040e+00,-1.868458170532685925e+00,-1.375806099236249302e+01,-1.786231071407956605e+01,-2.578962715371511560e+00,1.691793176516623021e+01,4.353577325665295916e+01,3.918176997782622095e+01
3.366666670000000305e-01,6.970066162476120653e+00,-1.518299497084932836e+00,-1.345780147905299451e+01,-1.847366244148987136e+01,-3.947229629279331409e+00,1.588866669809746313e+01,4.361557372916718123e+01,4.065301445402540992e+01
3.383333339999999856e-01,6.955794786429534859e+00,-1.163903607088344394e+00,-1.312572852796150080e+01,-1.904827733609440799e+01,-5.312973258935629772e+00,1.483239315765128907e+01,4.356479928020094405e+01,4.197473377964463026e+01
3.400000000000000244e-01,6.922671454057727658e+00,-8.054008793845127689e-01,-1.276188402394242161e+01,-1.958326326223831515e+01,-6.673859226549148538e+00,1.375211158363318020e+01,4.338570275219863959e+01,4.313822428881994853e+01
3.416666670000000350e-01,6.871776523153092953e+00,-4.428904589675899950e-01,-1.236643840975128406e+01,-2.007584040594919017e+01,-8.027472978954635963e+00,1.265038867243174181e+01,4.308133026306013136e+01,4.413717971595648493e+01
3.433333339999999900e-01,6.804457322642131878e+00,-7.643859051964106699e-02,-1.193974733157910606e+01,-2.052335977449518722e+01,-9.371283650215486816e+00,1.152946628410629870e+01,4.265547395717037205e+01,4.496779030802176180e+01
3.450000000000000289e-01,6.722302715652226368e+00,2.938802204343906044e-01,-1.148235605469900200e+01,-2.092329900346307170e+01,-1.070264287729924746e+01,1.039132740569571745e+01,4.211265025143287488e+01,4.562851836499912395e+01
